Date,total,y0-9,y10-19,y20-29,y30-39,y40-49,y50-59,y60-69,y70-79,y80,import
2020-01-19,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 
2020-01-20,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-01-21,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-01-22,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-01-23,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 
2020-01-24,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-01-25,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 
2020-01-26,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 
2020-01-27,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-01-28,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-01-29,3 ,0 ,0 ,1 ,1 ,0 ,1 ,0 ,0 ,0 ,2 
2020-01-30,4 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,1 
2020-01-31,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 
2020-02-01,3 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,2 
2020-02-02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-02-03,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 
2020-02-04,5 ,0 ,0 ,1 ,2 ,1 ,1 ,0 ,0 ,0 ,2 
2020-02-05,3 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,2 
2020-02-06,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-02-07,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-02-08,3 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,2 
2020-02-09,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
2020-02-10,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-02-11,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2020-02-12,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
