Date,y0-9,y10-19,y20-29,y30-39,y40-49,y50-59,y60-69,y70-79,y80,total,check
2020-04-02,0,0,0,1,1,10,22,46,82,162,1
2020-04-07,0,0,0,1,2,13,26,57,93,192,1
2020-04-08,0,0,0,1,3,13,27,60,96,200,1
2020-04-09,0,0,0,1,3,13,27,60,100,204,1
2020-04-10,0,0,0,1,3,13,28,62,101,208,1
2020-04-11,0,0,0,1,3,14,29,63,101,211,1
2020-04-12,0,0,0,1,3,14,31,63,102,214,1
2020-04-13,0,0,0,1,3,14,32,64,103,217,1
2020-04-14,0,0,0,1,3,14,33,65,106,222,1
2020-04-15,0,0,0,1,3,14,33,68,106,225,1
2020-04-16,0,0,0,1,3,14,33,68,110,229,1
2020-04-17,0,0,0,1,3,14,33,68,111,230,1
2020-04-18,0,0,0,1,3,15,33,68,112,232,1
2020-04-19,0,0,0,2,3,15,34,68,112,234,1
2020-04-20,0,0,0,2,3,15,34,69,113,236,1
2020-04-21,0,0,0,2,3,15,34,70,113,237,1
2020-04-22,0,0,0,2,3,15,34,71,113,238,1
2020-04-23,0,0,0,2,3,15,35,71,114,240,1
2020-04-24,0,0,0,2,3,15,35,71,114,240,1
2020-04-25,0,0,0,2,3,15,35,71,114,240,1
2020-04-26,0,0,0,2,3,15,35,72,115,242,1
2020-04-27,0,0,0,2,3,15,35,72,116,243,1
2020-04-28,0,0,0,2,3,15,35,73,116,244,1
2020-04-29,0,0,0,2,3,15,35,73,118,246,1
2020-04-30,0,0,0,2,3,15,35,74,118,247,1
2020-05-01,0,0,0,2,3,15,35,75,118,248,1
2020-05-02,0,0,0,2,3,15,35,75,120,250,1
2020-05-03,0,0,0,2,3,15,35,75,120,250,1
2020-05-04,0,0,0,2,3,15,36,76,120,252,1
2020-05-05,0,0,0,2,3,15,36,76,122,254,1
2020-05-06,0,0,0,2,3,15,36,77,122,255,1
2020-05-07,0,0,0,2,3,15,37,77,122,256,1
2020-05-08,0,0,0,2,3,15,37,77,122,256,1
2020-05-09,0,0,0,2,3,15,37,77,122,256,1
2020-05-10,0,0,0,2,3,15,37,77,122,256,1
2020-05-11,0,0,0,2,3,15,37,77,122,256,1
2020-05-12,0,0,0,2,3,15,37,77,124,258,1
2020-05-13,0,0,0,2,3,15,37,77,125,259,1
2020-05-14,0,0,0,2,3,15,38,77,125,260,1
2020-05-15,0,0,0,2,3,15,38,77,125,260,1
2020-05-16,0,0,0,2,3,15,38,77,127,262,1
2020-05-17,0,0,0,2,3,15,38,77,127,262,1
2020-05-18,0,0,0,2,3,15,38,78,127,263,1
2020-05-19,0,0,0,2,3,15,38,78,127,263,1
2020-05-20,0,0,0,2,3,15,38,78,127,263,1
2020-05-21,0,0,0,2,3,15,38,78,128,264,1
2020-05-22,0,0,0,2,3,15,38,78,128,264,1
2020-05-23,0,0,0,2,3,15,39,78,129,266,1
2020-05-24,0,0,0,2,3,15,39,78,129,266,1
2020-05-25,0,0,0,2,3,15,39,79,129,267,1
2020-05-26,0,0,0,2,3,15,39,79,131,269,1
2020-05-27,0,0,0,2,3,15,39,79,131,269,1
2020-05-28,0,0,0,2,3,15,39,79,131,269,1
2020-05-29,0,0,0,2,3,15,39,79,131,269,1
2020-05-30,0,0,0,2,3,15,39,79,131,269,1
2020-05-31,0,0,0,2,3,15,39,80,131,270,1
2020-06-01,0,0,0,2,3,15,39,80,132,271,1
2020-06-02,0,0,0,2,3,15,39,80,133,272,1
2020-06-03,0,0,0,2,3,15,39,81,133,273,1
2020-06-04,0,0,0,2,3,15,39,81,133,273,1
2020-06-05,0,0,0,2,3,15,39,81,133,273,1
2020-06-06,0,0,0,2,3,15,39,81,133,273,1
2020-06-07,0,0,0,2,3,15,39,81,133,273,1
2020-06-08,0,0,0,2,3,15,39,81,133,273,1
2020-06-09,0,0,0,2,3,15,39,81,134,274,1
2020-06-10,0,0,0,2,3,15,39,81,136,276,1
2020-06-11,0,0,0,2,3,15,39,81,136,276,1
2020-06-12,0,0,0,2,3,15,39,81,136,276,1
2020-06-13,0,0,0,2,3,15,40,81,136,277,1
2020-06-14,0,0,0,2,3,15,40,81,136,277,1
2020-06-15,0,0,0,2,3,15,40,81,136,277,1
2020-06-16,0,0,0,2,3,15,40,81,137,278,1
2020-06-17,0,0,0,2,3,15,40,81,138,279,1
2020-06-18,0,0,0,2,3,15,40,81,139,280,1
2020-06-19,0,0,0,2,3,15,40,81,139,280,1
2020-06-20,0,0,0,2,3,15,40,81,139,280,1
2020-06-21,0,0,0,2,3,15,40,81,139,280,1
2020-06-22,0,0,0,2,3,15,40,81,139,280,1
2020-06-23,0,0,0,2,3,15,41,81,139,281,1
2020-06-24,0,0,0,2,3,15,41,81,139,281,1
2020-06-25,0,0,0,2,3,15,41,82,139,282,1
