Date,Vaccine,Dose,Cumul
2021-10-31,ETC,1차,70679 
2021-11-01,ETC,1차,70707 
2021-11-02,ETC,1차,70737 
2021-11-03,ETC,1차,70776 
2021-11-04,ETC,1차,70810 
2021-11-05,ETC,1차,70838 
2021-11-06,ETC,1차,70867 
2021-11-07,ETC,1차,70871 
2021-11-08,ETC,1차,70883 
2021-11-09,ETC,1차,70914 
2021-11-10,ETC,1차,70937 
2021-11-11,ETC,1차,70951 
2021-11-12,ETC,1차,70982 
2021-11-13,ETC,1차,71001 
2021-11-14,ETC,1차,71013 
2021-11-15,ETC,1차,71037 
2021-11-16,ETC,1차,71069 
2021-11-17,ETC,1차,71087 
2021-11-18,ETC,1차,71103 
2021-11-19,ETC,1차,71134 
2021-11-20,ETC,1차,71152 
2021-11-21,ETC,1차,71169 
2021-11-22,ETC,1차,71184 
2021-11-23,ETC,1차,71211 
2021-11-24,ETC,1차,71223 
2021-11-25,ETC,1차,71241 
2021-11-26,ETC,1차,71262 
2021-11-27,ETC,1차,71279 
2021-11-28,ETC,1차,71281 
2021-11-29,ETC,1차,71294 
2021-11-30,ETC,1차,71314 
2021-12-01,ETC,1차,71331 
2021-12-02,ETC,1차,71363 
2021-12-03,ETC,1차,71373 
2021-12-04,ETC,1차,71385 
2021-12-05,ETC,1차,71392 
2021-12-06,ETC,1차,71413 
2021-12-07,ETC,1차,71437 
2021-12-08,ETC,1차,71448 
2021-12-09,ETC,1차,71460 
2021-12-10,ETC,1차,71470 
2021-12-11,ETC,1차,71486 
2021-12-12,ETC,1차,71491 
2021-12-13,ETC,1차,71497 
2021-12-14,ETC,1차,71505 
2021-12-15,ETC,1차,71516 
2021-12-16,ETC,1차,71534 
2021-12-17,ETC,1차,71540 
2021-12-18,ETC,1차,71544 
2021-12-19,ETC,1차,71547 
2021-12-20,ETC,1차,71554 
2021-12-21,ETC,1차,71555 
2021-12-22,ETC,1차,71560 
2021-12-23,ETC,1차,71569 
2021-12-24,ETC,1차,71574 
2021-12-25,ETC,1차,71579 
2021-12-26,ETC,1차,71582 
2021-12-27,ETC,1차,71584 
2021-12-28,ETC,1차,71589 
2021-12-29,ETC,1차,71592 
2021-12-30,ETC,1차,71596 
2021-12-31,ETC,1차,71604 
2022-01-01,ETC,1차,71604 
2022-01-02,ETC,1차,71604 
2022-01-03,ETC,1차,71611 
2022-01-04,ETC,1차,71613 
2022-01-05,ETC,1차,71615 
2022-01-06,ETC,1차,71616 
2022-01-07,ETC,1차,71617 
2022-01-08,ETC,1차,71617 
2022-01-09,ETC,1차,71617 
2022-01-10,ETC,1차,71617 
2022-01-11,ETC,1차,71617 
2022-01-12,ETC,1차,71618 
