Date,Dose,Age,Cumul
2022-02-17,1차,y12,0 
2022-02-16,1차,y12,0 
2022-02-15,1차,y12,0 
2022-02-14,1차,y12,0 
2022-02-13,1차,y12,0 
2022-02-12,1차,y12,0 
2022-02-11,1차,y12,0 
2022-02-10,1차,y12,0 
2022-02-09,1차,y12,0 
2022-02-08,1차,y12,0 
2022-02-07,1차,y12,0 
2022-02-06,1차,y12,0 
2022-02-05,1차,y12,0 
2022-02-04,1차,y12,0 
2022-02-03,1차,y12,0 
2022-02-02,1차,y12,0 
2022-02-01,1차,y12,0 
2022-01-31,1차,y12,0 
2022-01-30,1차,y12,0 
2022-01-29,1차,y12,0 
2022-01-28,1차,y12,0 
2022-01-27,1차,y12,0 
2022-01-26,1차,y12,0 
2022-01-25,1차,y12,0 
2022-01-24,1차,y12,0 
2022-01-23,1차,y12,0 
2022-01-22,1차,y12,0 
2022-01-21,1차,y12,0 
2022-01-20,1차,y12,0 
2022-01-19,1차,y12,0 
2022-01-18,1차,y12,0 
2022-01-17,1차,y12,0 
2022-01-16,1차,y12,0 
2022-01-15,1차,y12,0 
2022-01-14,1차,y12,0 
2022-01-13,1차,y12,0 
2022-01-12,1차,y12,0 
2022-01-11,1차,y12,0 
2022-01-10,1차,y12,0 
2022-01-09,1차,y12,0 
2022-01-08,1차,y12,0 
2022-01-07,1차,y12,0 
2022-01-06,1차,y12,0 
2022-01-05,1차,y12,0 
2022-01-04,1차,y12,0 
2022-01-02,1차,y12,0 
2022-01-01,1차,y12,0 
2021-12-31,1차,y12,0 
2021-12-30,1차,y12,0 
2021-12-29,1차,y12,0 
2021-12-28,1차,y12,0 
2021-12-26,1차,y12,0 
2021-12-25,1차,y12,0 
2021-12-24,1차,y12,0 
2021-12-23,1차,y12,0 
2021-12-22,1차,y12,0 
2021-12-21,1차,y12,0 
2021-12-19,1차,y12,0 
2021-12-18,1차,y12,0 
2021-12-17,1차,y12,0 
2021-12-16,1차,y12,0 
2021-12-15,1차,y12,0 
2021-12-14,1차,y12,0 
2021-12-12,1차,y12,0 
2021-12-11,1차,y12,0 
2021-12-10,1차,y12,0 
2021-12-09,1차,y12,0 
2021-12-08,1차,y12,0 
2021-12-07,1차,y12,0 
2021-12-06,1차,y12,0 
2021-12-05,1차,y12,0 
2021-12-04,1차,y12,0 
2021-12-03,1차,y12,0 
2021-12-02,1차,y12,0 
2021-12-01,1차,y12,0 
2021-11-30,1차,y12,0 
2021-11-29,1차,y12,0 
2021-11-28,1차,y12,0 
2021-11-27,1차,y12,0 
2021-11-26,1차,y12,0 
2021-11-25,1차,y12,0 
2021-11-24,1차,y12,0 
2021-11-23,1차,y12,0 
2021-11-22,1차,y12,0 
2021-11-21,1차,y12,0 
2021-11-20,1차,y12,0 
2021-11-19,1차,y12,0 
2021-11-18,1차,y12,0 
2021-11-17,1차,y12,0 
2021-11-16,1차,y12,0 
2021-11-15,1차,y12,0 
2021-11-14,1차,y12,0 
2021-11-13,1차,y12,0 
2021-11-12,1차,y12,0 
2021-11-11,1차,y12,0 
2021-11-10,1차,y12,0 
2021-11-09,1차,y12,0 
2021-11-08,1차,y12,0 
2021-11-07,1차,y12,0 
2021-11-06,1차,y12,0 
2021-11-05,1차,y12,0 
2021-11-04,1차,y12,0 
2021-11-03,1차,y12,0 
2021-11-02,1차,y12,0 
2021-11-01,1차,y12,0 
2021-10-31,1차,y12,0 
2022-02-17,1차,y12-17,1842415 
2022-02-16,1차,y12-17,1840468 
2022-02-15,1차,y12-17,1838703 
2022-02-14,1차,y12-17,1836646 
2022-02-13,1차,y12-17,1834051 
2022-02-12,1차,y12-17,1833903 
2022-02-11,1차,y12-17,1830629 
2022-02-10,1차,y12-17,1826880 
2022-02-09,1차,y12-17,1824753 
2022-02-08,1차,y12-17,1822927 
2022-02-07,1차,y12-17,1820906 
2022-02-06,1차,y12-17,1817794 
2022-02-05,1차,y12-17,1817576 
2022-02-04,1차,y12-17,1813433 
2022-02-03,1차,y12-17,1807552 
2022-02-02,1차,y12-17,1802522 
2022-02-01,1차,y12-17,1802324 
2022-01-31,1차,y12-17,1802310 
2022-01-30,1차,y12-17,1802107 
2022-01-29,1차,y12-17,1801831 
2022-01-28,1차,y12-17,1797860 
2022-01-27,1차,y12-17,1792372 
2022-01-26,1차,y12-17,1788802 
2022-01-25,1차,y12-17,1785365 
2022-01-24,1차,y12-17,1781859 
2022-01-23,1차,y12-17,1777421 
2022-01-22,1차,y12-17,1777208 
2022-01-21,1차,y12-17,1772206 
2022-01-20,1차,y12-17,1765400 
2022-01-19,1차,y12-17,1761400 
2022-01-18,1차,y12-17,1757846 
2022-01-17,1차,y12-17,1753704 
2022-01-16,1차,y12-17,1748481 
2022-01-15,1차,y12-17,1748221 
2022-01-14,1차,y12-17,1742344 
2022-01-13,1차,y12-17,1733616 
2022-01-12,1차,y12-17,1728235 
